id,unit_id,value,base_value,last_modified_user_id,last_modified_date,created_user_id,created_date,selectable
64,1,"28",53,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
65,1,"29",54,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
66,1,"31",56,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
67,1,"32",57,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
68,1,"33",58,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
69,1,"34",59,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
70,1,"36",61,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
71,1,"37",62,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
72,1,"38",63,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
73,1,"39",64,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
74,1,"41",66,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
75,1,"42",67,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
76,1,"43",68,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
77,1,"44",69,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
78,1,"46",71,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
79,1,"47",72,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
80,1,"48",73,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
81,1,"49",74,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
82,1,"51",76,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
83,1,"52",77,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
84,1,"53",78,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
85,1,"54",79,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
86,1,"56",81,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
87,1,"57",82,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
88,1,"58",83,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00",1
