id,name,display_order,last_modified_user_id,last_modified_date,created_user_id,created_date,value
1,"Large",1,1,"2013-10-09 13:08:27",1,"1900-01-01 00:00:00","Large"
2,"Medium",2,1,"2013-10-09 13:08:27",1,"1900-01-01 00:00:00","Medium"
3,"Small",3,1,"2013-10-09 13:08:27",1,"1900-01-01 00:00:00","Small"
