id,name,display_order,deferred,book,event,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"Not Required",1,0,0,0,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
2,"Deferred",2,1,0,0,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
3,"Booked for a future date",3,0,1,0,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
4,"Performed today",4,0,0,1,1,"1901-01-01 00:00:00",1,"1901-01-01 00:00:00"
