id,attribute_id,element_type_id,last_modified_user_id,last_modified_date,created_user_id,created_date
1,1,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
2,2,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
3,3,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
4,4,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
5,5,32,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
6,7,40,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
7,8,41,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
8,9,35,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
9,10,42,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
