id,name,display_order,last_modified_user_id,last_modified_date,created_user_id,created_date
1,"5%",1,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
2,"15%",2,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
3,"25%",3,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
4,"30%",4,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
5,"75%",5,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
6,"100%",6,1,"1900-01-01 00:00:00",1,"1900-01-01 00:00:00"
